,Director,Series_Title,Released_Year,Primary_Genre
834,David Lynch,Blue Velvet,1986,Drama
835,Woody Allen,The Purple Rose of Cairo,1985,Comedy
836,Martin Scorsese,After Hours,1985,Comedy
837,Woody Allen,Zelig,1983,Comedy
838,Sidney Lumet,The Verdict,1982,Drama
843,Hayao Miyazaki,Rupan sansei: Kariosutoro no shiro,1979,Animation
845,Roman Polanski,Le locataire,1976,Drama
846,Woody Allen,Love and Death,1975,Comedy
849,Sidney Lumet,Serpico,1973,Biography
859,Roman Polanski,Repulsion,1965,Drama
862,Alfred Hitchcock,The Birds,1963,Drama
870,Billy Wilder,Sabrina,1954,Comedy
871,John Ford,The Quiet Man,1952,Comedy
873,John Huston,The African Queen,1951,Adventure
879,Quentin Tarantino,Once Upon a Time... in Hollywood,2019,Comedy
890,Steven Spielberg,Bridge of Spies,2015,Drama
893,Denis Villeneuve,Sicario,2015,Action
929,Woody Allen,Match Point,2005,Drama
945,Wes Anderson,The Royal Tenenbaums,2001,Comedy
946,Alfonso Cuarón,Y tu mamá también,2001,Drama
951,Steven Spielberg,Minority Report,2002,Action
961,David Lynch,Lost Highway,1997,Mystery
965,Clint Eastwood,The Bridges of Madison County,1995,Drama
966,Ron Howard,Apollo 13,1995,Adventure
969,Richard Linklater,Dazed and Confused,1993,Comedy
974,Francis Ford Coppola,The Godfather: Part III,1990,Crime
975,Rob Reiner,When Harry Met Sally...,1989,Comedy
980,Joel Coen,Blood Simple,1984,Crime
988,Steven Spielberg,Close Encounters of the Third Kind,1977,Drama
990,Sergio Leone,Giù la testa,1971,Drama
998,Alfred Hitchcock,Lifeboat,1944,Drama
999,Alfred Hitchcock,The 39 Steps,1935,Crime
